participant_id,timestamp,language,row_type,age_band,gender,education,ai_use_freq,law_familiarity,native_language,order_position,scenario_key,scenario_title,risk_level,condition,confidence_shown,is_probe,t_reliable,t_accurate,t_confident,t_wary,t_source,t_understand,t_use,t_rely,attention_check,attention_pass,manip_notice,manip_most_trusted,reflect_open,comment
20260603193938850826,2026-06-03 19:42:11,en,scenario,35–44,Female,Bachelor's degree,Weekly,4,Both equally,1.0,speed,Speed Limits,low,RAG (no transparency),,0.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,,,,,,
20260603193938850826,2026-06-03 19:43:06,en,scenario,35–44,Female,Bachelor's degree,Weekly,4,Both equally,2.0,points,Penalty Points,medium,Baseline,,0.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,,,,,,
20260603193938850826,2026-06-03 19:44:04,en,scenario,35–44,Female,Bachelor's degree,Weekly,4,Both equally,3.0,alcohol,Breath Test & Alcohol Limit,high,RAG + Transparency,High,0.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,,,,,,
20260603193938850826,2026-06-03 19:45:25,en,scenario,35–44,Female,Bachelor's degree,Weekly,4,Both equally,4.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,5.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,,,,,,
20260603193938850826,2026-06-03 19:45:53,en,final,35–44,Female,Bachelor's degree,Weekly,4,Both equally,,,,,,,,,,,,,,,,"Yes, somewhat",Answers that showed sources and confidence,,,,
20260603194313087660,2026-06-03 19:46:55,en,scenario,18–24,Female,Post-secondary / MCAST / Sixth Form,Weekly,3,Other,1.0,points,Penalty Points,medium,RAG (no transparency),,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603194313087660,2026-06-03 19:47:11,en,scenario,18–24,Female,Post-secondary / MCAST / Sixth Form,Weekly,3,Other,2.0,speed,Speed Limits,low,Baseline,,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603194313087660,2026-06-03 19:47:36,en,scenario,18–24,Female,Post-secondary / MCAST / Sixth Form,Weekly,3,Other,3.0,alcohol,Breath Test & Alcohol Limit,high,RAG + Transparency,High,0.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,,,,,,
20260603194313087660,2026-06-03 19:47:55,en,scenario,18–24,Female,Post-secondary / MCAST / Sixth Form,Weekly,3,Other,4.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603194313087660,2026-06-03 19:48:05,en,final,18–24,Female,Post-secondary / MCAST / Sixth Form,Weekly,3,Other,,,,,,,,,,,,,,,,"Yes, clearly",Answers that showed sources and confidence,,,,
